query_idx,recall,underfill,latency_ms,dist_ops,n_returned,strategy,target_selectivity,true_selectivity,sel_hat,metadata_variant,planner_reason
47,1.0,False,342.52350000315346,67589,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
48,1.0,False,364.3729000032181,64333,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
49,1.0,False,360.76260000118054,53845,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
50,1.0,False,351.9285999936983,55397,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
51,1.0,False,377.56969999463763,62508,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
52,1.0,False,359.55000000831205,53908,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
53,1.0,False,357.8941999876406,54375,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
54,1.0,False,444.61829999636393,68115,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
55,1.0,False,423.53369999909773,68167,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
56,1.0,False,380.98549999995157,54003,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
57,1.0,False,350.95550000551157,60455,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
58,1.0,False,392.37770000181627,64844,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
59,1.0,False,382.67519998771604,63800,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
60,1.0,False,370.2498999919044,54160,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
61,1.0,False,364.7542999970028,54311,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
62,1.0,False,406.95039999263827,68305,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
63,1.0,False,380.32970001222566,59331,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
64,1.0,False,394.5889000024181,67755,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
65,1.0,False,439.55959999584593,69537,10,post_filter,0.001,0.001,0.0008299226874113083,uncorrelated,
